Manufacturer,Part Number,Description,Product Weight in kg (3 decimals),Dim (L) CM,Dim (W) CM,Dim (H) CM,Source1,Source2,Source3
GN NETCOM,7599-842-199,EVOLVE 75 STEREO MS + CHARGING,0.499,19.05,21.59,5.59,https://www.cnet.com/products/jabra-evolve-75-ms-stereo-headset/,https://www.cdw.com/product/jabra-evolve-75-ms-stereo-headset/4497554,https://www.insight.com/en_US/shop/product/7599-842-199/GN-NETCOM/7599-842-199/Jabra-Evolve-75-MS-Stereo--headset/
GN NETCOM,6593-833-309,JABRA EVOLVE 65 SE LINK380A,0.079,17.04,15.44,5.86,https://www.cdw.com/product/jabra-evolve-65-se-uc-mono-headset/6929919,https://www.insight.com/en_US/shop/product/6593-833-309/GN-NETCOM/6593-833-309/Jabra-Evolve-65-SE--headset/,https://www.shi.com/product/43777578/Jabra-Evolve-65-SE-headset
GN NETCOM,7599-842-109,JABRA EVOLVE 75 SE,0.177,20.6,17.6,5.1,https://www.jabra.com/-/media/product-documentation/jabra-evolve-75-se/technical-specifications/jabra-evolve-75-se-technical-specifications.pdf,https://www.cdw.com/product/jabra-evolve-75-se-ms-stereo-headset/7279169,https://www.insight.com/en_us/shop/product/7599-842-109/gn-netcom/7599-842-109/jabra-evolve-75-se--headset/
GN NETCOM,7710-309,SPEAK 710 MS USB/BT,0.298,15.8,15.8,5.8,https://www.jabra.com/-/media/product-documentation/jabra-speak-710/jabra_speak_710_datasheet_a4_web.pdf,https://www.insight.com/en_US/shop/product/7710-309/JABRA/7710-309/Jabra-SPEAK-710-MS--speakerphone/,https://www.cdw.com/product/jabra-speak-710-ms-voip-desktop-speakerphone/4488001
NETALLY,LRAT-2000,LINKRUNNER AT 2000 NETWORK,0.500,19.8,8.9,4.8,https://www.netally.com/wp-content/uploads/2020/03/LinkRunner-AT-Datasheet.pdf,https://www.tequipment.net/NetAlly/LRAT-2000/Network-Testers/,https://www.testequity.com/product/netally-lrat-2000
KLEIN,VDV526-052,RJ45 TESTER,0.136,13.5,6.4,3.2,https://www.kleintools.com/catalog/cable-testers/lan-scout-jr-cable-tester,https://www.homedepot.com/p/Klein-Tools-LAN-Scout-Jr-Cable-Tester-VDV526-052/202266622,
FLUKE,NFC-KIT-CASE-E,IND NFC-KIT-CASE-E,1.200,31.8,25.4,7.7,https://www.conrad.com/p/fluke-nfc-kit-case-e-accessory-set-suitable-for-fluke-1587-fc-fluke-1732-fluke-1734-fluke-1736-fluke-1738-fluke-1742-fluke-1746-fluke-1748-fluke-279-fc-fluke-289-fluke-3000-fc-fluke-3540-fc-fluke-3561-fc-fluke-789-fluke-902-fc-fluke-t6-1000-fluke-t6-600-2099343,https://www.distrelec.ch/en/nfc-passive-tag-kit-fluke-nfc-kit-case-e/p/30168393,https://www.tme.com/us/en-us/details/nfc-kit-case-e/cases-for-meters/fluke/
ALTRONIX,BL6,"BATTERY LEADS, 68"", 18AWG",0.050,15.24,10.16,2.54,https://www.altronix.com/products/bl6,https://www.altronix.com/assets/ds/DS_BL6.pdf,
GN NETCOM,24189-999-999,"HEADSET, WIRED, STEREO, USB-A",0.188,18.6,15.7,6.05,https://www.jabra.com/-/media/product-documentation/jabra-evolve2-40-techsheet-a4-web.pdf,https://www.cdw.com/product/jabra-evolve2-40-ms-teams-stereo-headset/6011749,https://www.insight.com/en_US/shop/product/24189-999-999/GN-NETCOM-INC./24189-999-999/Jabra-Evolve2-40---MS-Teams-Stereo---headset/
GN NETCOM,4999-823-309,JABRA EVOLVE 20SE MS STEREO,0.171,15.12,5.95,17.04,https://www.jabra.com/-/media/Product-Documentation/Jabra-Evolve-20-20SE/Technical-Specifications/RevB/Jabra-Evolve-20-20SE-Technical-Specifications.pdf,https://www.insight.com/en_US/shop/product/4999-823-309/GN-NETCOM/4999-823-309/Jabra-EVOLVE-20SE-MS-Stereo-headset/,https://www.cdw.com/product/jabra-evolve-20se-ms-stereo-headset/3932829
