Manufacturer,Part Number,Description,Product Weight in kg (3 decimals),Dim (L) CM,Dim (W) CM,Dim (H) CM,Source1,Source2,Source3
TECH DATA,7308653,"DELL-U2723QE ULTRASHARP 27""",9.350,16.26,85.34,42.42,https://wwwis.com/us/products/computers-components-storage/monitors/dell-u2723qe-ultrasharp-27-4k-usb-c-hub-monitor-u2723qe-210-bdpf-7308653,https://www.cdw.com/product/dell-ultrasharp-u2723qe-led-monitor-4k-27-hdr/6877011,https://www.cnet.com/products/dell-ultrasharp-u2723qe-led-monitor-4k-27-hdr/
AXIS COMM,5506-231,T8415 INSTALLATIONS-TOOL,0.330,18.4,8.1,3.9,https://www.axis.com/products/axis-t8415-wireless-installation-tool/technical-specifications,https://www.bhphotovideo.com/c/product/1183182-REG/axis_communications_5506_231_t8415_wireless_installation_tool.html/specs,
PHILIPS,275E1S/00,"PHILIPS 27"" MONITOR  E-LINE",4.000,20.5,61.3,46.1,https://www.philips.co.uk/c-p/275E1S_00/lcd-monitor-with-ultrawide-color/specifications,https://icecat.biz/en/p/philips/275e1s-00/monitors-8712581758550-275e1s-00-58474930.html,
LOGITECH,62AEKAT2EU,"24"" S24E-20 FULL HD",3.300,17.31,54.04,40.39,https://psref.lenovo.com/Detail/ThinkVision/ThinkVision_S24e_20?M=62AEKAT2EU,https://support.lenovo.com/us/en/solutions/pd500490-thinkvision-s24e-20-monitor-overview,
NOVANEX,ONT4BK-P,POE 4 DIGIT CLOCK,1.360,5.72,31.75,11.43,https://www.novanex.com/products/ont4bk-p,https://www.novanex.com/wp-content/uploads/2022/08/Novanex-PoE-Clocks-Spec-Sheet.pdf,https://www.bhphotovideo.com/c/product/1461933-REG/novanex_ont4bk_p_4_digit_poe_digital_clock.html/specs
CONTEG,DP-VEL-04,VENTILATION UNIT WITH 4 FANS,4.500,35.0,48.26,4.4,https://www.conteg.com/download/products/datasheet/en/dp-vel-04_ds_en_170118.pdf,https://www.it-market.com/en/products/conteg-dp-vel-04-ventilation-unit-with-4-fans-for-19-premium-and-optim-1000003058,
ZENITEL,1008431000,CRM-V-2,0.900,6.5,12.0,12.0,https://www.zenitel.com/product/crm-v-2,https://www.zenitel.com/sites/default/files/product-documents/A100K11858_CRM-V-2_Datasheet_EN_A4.pdf,
AIPHONE,IX-MV7-HB,"IX-MV7-HB IX MASTER 7"" HS BLK",0.600,23.02,13.02,2.86,https://www.aiphone.com/wp-content/uploads/2019/07/IX-MV7-HB-Spec-Sheet.pdf,https://www.bhphotovideo.com/c/product/1325301-REG/aiphone_ix_mv7_hb_ix_series_ip_video.html/specs,https://www.aiphone.com/products/ix-mv7-hb
RADIONICS,S1600-R,AID ALARM CEILING PULL CORD,0.104,8.5,8.5,3.0,https://uk.rs-online.com/web/p/pull-cord-switches/2067947,https://docs.rs-online.com/11e2/0900766b81486744.pdf,https://export.rsdelivers.com/product/rs-pro/s1600-r/rs-pro-pull-cord-switch-spdt-2-a-24-v-dc/2067947
INMAC,5060408461518,YUBIKEY 5C NANO HARDWARE%    ,0.001,1.3,1.2,0.25,https://www.yubico.com/product/yubikey-5c-nano/,https://www.cdw.com/product/yubico-yubikey-5c-nano-security-key/5969854,https://www.senetic.net/product/Y-353
