Manufacturer,Part Number,Description,Product Weight in kg (3 decimals),Dim (L) CM,Dim (W) CM,Dim (H) CM,Source1,Source2,Source3
TECH DATA,7308653,"DELL-U2723QE ULTRASHARP 27""",6.640,18.5,61.14,38.52,https://www.dell.com/support/home/en-us/product-support/product/u2723qe-monitor/docs,https://www.dell.com/en-us/shop/dell-ultrasharp-27-4k-usb-c-hub-monitor-u2723qe/apd/210-bdpf/monitors-monitor-accessories,https://www.bhphotovideo.com/c/product/1691605-REG/dell_u2723qe_27_ultrasharp_4k_uhd.html/specs
AXIS COMM,5506-231,T8415 INSTALLATIONS-TOOL,0.490,19.6,10.2,4.3,https://www.axis.com/dam/public/d1/a7/9d/datasheet-axis-t8415-wireless-installation-tool-en-US-36359.pdf,https://www.axis.com/products/axis-t8415-wireless-installation-tool,
PHILIPS,275E1S/00,"PHILIPS 27"" MONITOR  E-LINE",4.050,20.5,61.3,46.1,https://www.philips.co.uk/c-p/275E1S_00/lcd-monitor-with-ultrawide-color/specifications,https://www.displayspecifications.com/en/model/499c1a99,
LOGITECH,62AEKAT2EU,"24"" S24E-20 FULL HD",3.820,17.31,54.04,40.39,https://psref.lenovo.com/Detail/ThinkVision/ThinkVision_S24e_20?M=62AEKAT2EU,https://www.lenovo.com/il/en/medias/lenovo-thinkvision-s24e-20-datasheet-en.pdf,
NOVANEX,ONT4BK-P,POE 4 DIGIT CLOCK,,,,,,,
CONTEG,DP-VEL-04,VENTILATION UNIT WITH 4 FANS,5.200,35.0,48.26,4.4,https://www.conteg.com/download/en/datasheet-roof-mounted-ventilation-units-dp-vel-xx-en.pdf,https://www.anixter.com/en_gb/products/DP-VEL-04/CONTEG/Data-Center-Cooling/p/10103986,https://www.all-cables.de/CONTEG-DP-VEL-04-19-Ventilation-unit-4-fans-thermostat-1U-black.html
ZENITEL,1008431000,CRM-V-2,0.600,12.0,6.5,12.0,https://www.zenitel.com/product/crm-v-2,https://files.zenitel.com/crm-v-2_datasheet_a10k11881_en.pdf,https://www.alliedelec.com/product/zenitel/1008431000/71199347/
AIPHONE,IX-MV7-HB,"IX-MV7-HB IX MASTER 7"" HS BLK",0.580,2.9,21.0,14.5,https://www.aiphone.com/wp-content/uploads/2019/11/IX-MV7-HB-Spec-Sheet.pdf,https://www.aiphone.com/products/ix-mv7-hb,https://www.bhphotovideo.com/c/product/1344260-REG/aiphone_ix_mv7_hb_ix_series_ip_video.html/specs
RADIONICS,S1600-R,AID ALARM CEILING PULL CORD,0.110,8.5,8.5,2.8,https://uk.rs-online.com/web/p/pull-cord-switches/0449178,https://docs.rs-online.com/210f/0900766b80022026.pdf,
INMAC,5060408461518,YUBIKEY 5C NANO HARDWARE%    ,0.001,1.2,1.01,0.7,https://www.yubico.com/product/yubikey-5c-nano/,https://www.senetic.co.uk/product/Y-356,https://www.proshop.de/Kryptographie-Login-Geraete/Yubico-YubiKey-5C-Nano/2873327
