Manufacturer,Part Number,Description,Does the product contain a battery?,Number of Batteries Per Unit,Weight of Single Battery (in KG to 3 decimals),Battery type or model,Battery Chemistry,Is the battery rechargeable?,BATTERY BRAND IF AVAILABLE,Is the battery Integrated or Stand Alone,Source1,Source2,Source3
GN NETCOM,7599-842-199,EVOLVE 75 STEREO MS + CHARGING,Yes,1,0.010,AEC502535,Li-Po,Yes,AEC,Integrated,https://www.jabra.com/-/media/product-documentation/jabra-evolve-75-techsheet-a4-web.pdf,https://www.cdw.com/product/jabra-evolve-75-ms-stereo-headset/4519183,https://fccid.io/BCE-HSC040W
GN NETCOM,6593-833-309,JABRA EVOLVE 65 SE LINK380A,Yes,1,0.009,AHB572535PST,Li-Po,Yes,VDL,Integrated,https://www.jabra.com/-/media/product-documentation/jabra-evolve-65-techsheet-a4-web.pdf,https://fccid.io/BCE-HSC017W/Internal-Photos/Internal-Photos-2178051,https://www.cdw.com/product/jabra-evolve-65-se-ms-stereo-headset/6920703
GN NETCOM,7599-842-109,JABRA EVOLVE 75 SE,Yes,1,0.010,,Li-ion,Yes,,Integrated,https://www.cnet.com/products/jabra-evolve-75-se-headset-with-charging-stand/,https://www.cdw.com/product/jabra-evolve-75-se-headset/6932145,https://www.jabra.com/-/media/product-documentation/jabra-evolve-75/jabra-evolve-75-datasheet.pdf
GN NETCOM,7710-309,SPEAK 710 MS USB/BT,Yes,1,0.026,AEC653055P,Li-ion,Yes,AEC,Integrated,https://www.jabra.com/-/media/product-documentation/jabra-speak-710/jabra_speak_710_datasheet_a4_web.pdf,https://fccid.io/BCE-7710,https://fccid.io/BCE-7710/Test-Report/Test-Report-3294191
NETALLY,LRAT-2000,LINKRUNNER AT 2000 NETWORK,Yes,1,0.105,LRAT-2000-BATT,Li-ion,Yes,NETALLY,Stand Alone,https://www.netally.com/wp-content/uploads/2020/02/LinkRunner-AT-Datasheet.pdf,https://www.netally.com/wp-content/uploads/2020/02/LinkRunnerAT_UserGuide.pdf,https://sds.chemtel.net/webclients/netscout/docs/SDS_3084_LinkRunner%20AT%20Battery%20Pack_EN.pdf
KLEIN,VDV526-052,RJ45 TESTER,Yes,4,0.012,AAA,Alkaline,No,,Stand Alone,https://www.kleintools.com/catalog/cable-testers/lan-explorer-data-cable-tester-remote,https://www.kleintools.com/sites/all/product_assets/documents/instructions/klein/VDV526-052-Instructions.pdf,https://www.homedepot.com/p/Klein-Tools-LAN-Explorer-Data-Cable-Tester-with-Remote-VDV526-052/202520424
FLUKE,NFC-KIT-CASE-E,IND NFC-KIT-CASE-E,No,0,0.000,,,No,,Stand Alone,https://www.tme.eu/gb/en/details/nfc-kit-case-e/cases-for-measuring-equipment/fluke/3837424/,https://www.conrad.com/p/fluke-nfc-kit-case-e-measuring-device-case-1-pcs-1500331,https://www.distrelec.biz/en/hard-case-for-fluke-1663-1664fc-fluke-nfc-kit-case-e/p/30113220
ALTRONIX,BL6,"BATTERY LEADS, 68"", 18AWG",No,0,0.000,,,No,,Stand Alone,https://www.altronix.com/products/bl6,https://www.adiglobaldistribution.us/Product/AX-BL6,
GN NETCOM,24189-999-999,"HEADSET, WIRED, STEREO, USB-A",No,0,0.000,,,No,,Stand Alone,https://www.importkey.com/i/gn-netcom-a-s/24189-999-999,,
GN NETCOM,4999-823-309,JABRA EVOLVE 20SE MS STEREO,No,0,0.000,,,No,,Stand Alone,https://www.jabra.com/-/media/product-documentation/datasheets/ds_jabra_evolve_20_and_20se_101-0414_v01_1501_web.pdf,https://www.jabra.com/-/media/product-documentation/user-manuals/jabra-evolve-20-and-20se/jabra-evolve-20-and-20se-user-manual_en.pdf,https://www.cdw.com/product/jabra-evolve-20se-ms-teams-stereo-headset/4034870
